Name,Unnamed: 1,Unnamed: 2,Age,Lev,Tm, ,Opp,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,Date
Rich Hill,gl,box,43,Maj-NL,Pittsburgh,,Cleveland,1,,,,5.2,8,4,4,1,1,0,0,37,24,3,0,0,0,0,3,0,0,26,97,70%,15%,2%,42%,25%,8%,2023-07-19
Julio Urías,gl,box,26,Maj-NL,Los Angeles,@,Baltimore,1,,1,,5.0,8,8,8,2,2,1,0,19,22,4,0,0,0,1,1,0,0,25,93,71%,22%,5%,48%,14%,10%,2023-07-19
George Kirby,gl,box,25,Maj-AL,Seattle,,Minnesota,1,1,,,7.0,4,0,0,0,10,0,1,79,24,0,1,0,1,0,0,0,0,25,99,74%,17%,16%,21%,36%,7%,2023-07-20
Michael Lorenzen,gl,box,31,Maj-AL,Detroit,@,Kansas City,1,1,,,7.0,3,0,0,1,3,0,0,73,23,2,0,0,0,0,0,0,0,24,89,66%,13%,11%,40%,25%,5%,2023-07-20
Chris Bassitt,gl,box,34,Maj-AL,Toronto,,San Diego,1,1,,,6.0,4,0,0,1,5,0,1,68,22,0,0,0,1,0,0,0,0,24,92,67%,24%,8%,35%,24%,12%,2023-07-20
J.P. France,gl,box,28,Maj-AL,Houston,@,Oakland,1,1,,,7.0,6,1,1,1,5,0,0,65,25,2,0,0,2,0,0,0,0,26,93,69%,22%,12%,50%,20%,15%,2023-07-20
Tyler Glasnow,gl,box,29,Maj-AL,Tampa Bay,,Baltimore,1,,,,7.0,6,3,2,0,9,0,0,64,26,0,1,0,0,1,0,0,0,27,93,68%,18%,17%,78%,11%,0%,2023-07-20
Michael Kopech,gl,box,27,Maj-AL,Chicago,@,New York,1,1,,,5.2,2,1,1,4,5,1,0,62,18,0,0,0,1,0,0,0,0,22,89,55%,18%,7%,38%,8%,8%,2023-07-20
Hogan Harris,gl,box,26,Maj-AL,Oakland,,Houston,1,,1,,6.0,4,2,2,0,6,0,0,62,22,1,0,0,0,0,0,0,0,22,74,78%,18%,19%,44%,38%,6%,2023-07-20
Kyle Gibson,gl,box,35,Maj-AL,Baltimore,@,Tampa Bay,1,,,,6.0,7,3,3,2,8,0,1,52,24,1,0,0,1,0,1,0,0,27,91,69%,18%,21%,69%,25%,0%,2023-07-20
Pablo López,gl,box,27,Maj-AL,Minnesota,@,Seattle,1,,1,,5.0,6,2,2,2,7,1,0,52,21,1,0,0,0,0,0,0,0,23,98,61%,15%,13%,43%,21%,7%,2023-07-20
Zack Greinke,gl,box,39,Maj-AL,Kansas City,,Detroit,1,,1,,4.0,4,2,2,2,1,0,0,45,15,0,0,0,1,0,0,0,0,17,62,63%,16%,11%,43%,36%,0%,2023-07-20
Corbin Burnes,gl,box,28,Maj-NL,Milwaukee,@,Philadelphia,1,1,,,8.0,2,0,0,1,10,0,1,87,26,0,0,0,1,0,0,0,0,28,100,70%,20%,15%,56%,13%,13%,2023-07-20
Andrew Abbott,gl,box,24,Maj-NL,Cincinnati,,San Francisco,1,1,,,8.0,1,0,0,2,6,0,0,84,24,1,0,0,0,0,0,0,0,26,106,61%,13%,11%,28%,22%,6%,2023-07-20
Steven Matz,gl,box,32,Maj-NL,St. Louis,@,Chicago,1,1,,,5.0,3,1,1,1,6,0,0,62,18,1,1,0,0,0,0,0,0,19,97,61%,19%,10%,42%,17%,17%,2023-07-20
Spencer Strider,gl,box,24,Maj-NL,Atlanta,,Arizona,1,,,,6.0,4,4,4,1,13,2,1,60,22,0,1,0,0,0,1,0,0,24,100,66%,10%,23%,44%,22%,0%,2023-07-20
Zac Gallen,gl,box,27,Maj-NL,Arizona,@,Atlanta,1,,,,7.0,5,3,3,0,5,2,0,60,25,1,1,0,0,0,0,1,0,25,99,64%,11%,9%,30%,25%,0%,2023-07-20
Blake Snell,gl,box,30,Maj-NL,San Diego,@,Toronto,1,,1,,5.0,5,1,1,7,4,0,0,50,17,0,0,0,1,0,1,1,1,24,106,52%,12%,16%,54%,31%,8%,2023-07-20
José Quintana,gl,box,34,Maj-NL,New York,,Chicago,1,,1,,5.0,6,2,2,0,3,0,0,50,19,1,0,0,1,1,0,0,0,20,77,69%,19%,8%,53%,24%,12%,2023-07-20
Taijuan Walker,gl,box,30,Maj-NL,Philadelphia,,Milwaukee,1,,1,,6.0,6,4,4,2,6,1,0,48,23,2,0,0,0,0,0,0,1,25,102,66%,18%,7%,41%,24%,18%,2023-07-20
Marcus Stroman,gl,box,32,Maj-NL,Chicago,,St. Louis,1,,1,,3.2,7,5,4,4,4,1,0,29,19,3,0,0,1,0,1,0,0,23,99,57%,13%,12%,47%,33%,0%,2023-07-20
Alex Cobb,gl,box,35,Maj-NL,San Francisco,@,Cincinnati,1,,1,,4.1,9,5,5,4,0,1,0,21,20,3,0,0,0,0,0,1,0,24,85,58%,20%,5%,50%,40%,0%,2023-07-20
Zach Eflin,gl,box,29,Maj-AL,Tampa Bay,,Baltimore,1,1,,,7.0,2,0,0,1,8,0,0,80,23,1,0,0,0,0,0,0,0,24,87,72%,24%,7%,33%,33%,13%,2023-07-21
Yusei Kikuchi,gl,box,32,Maj-AL,Toronto,@,Seattle,1,,,,5.1,5,0,0,1,8,0,0,65,20,0,0,0,1,0,0,0,0,21,78,67%,21%,15%,58%,17%,17%,2023-07-21
Bryce Miller,gl,box,24,Maj-AL,Seattle,,Toronto,1,,,,5.1,3,1,1,2,6,1,0,62,19,0,0,0,0,0,0,0,0,21,75,67%,15%,11%,31%,23%,0%,2023-07-21
Kyle Bradish,gl,box,26,Maj-AL,Baltimore,@,Tampa Bay,1,,1,,6.0,6,2,2,1,5,1,0,56,24,2,0,0,0,0,0,0,0,25,93,66%,15%,13%,47%,16%,0%,2023-07-21
Joe Ryan,gl,box,27,Maj-AL,Minnesota,,Chicago,1,1,,,6.0,7,4,4,1,10,2,0,51,25,2,0,0,0,0,0,0,0,26,104,62%,13%,14%,27%,13%,13%,2023-07-21
Shohei Ohtani,gl,box,28,Maj-AL,Los Angeles,,Pittsburgh,1,1,,,6.1,6,5,5,1,9,4,1,49,25,0,0,0,0,0,0,0,0,27,87,69%,14%,13%,50%,6%,0%,2023-07-21
Clarke Schmidt,gl,box,27,Maj-AL,New York,,Kansas City,1,1,,,5.2,5,3,3,1,2,1,1,48,22,3,0,0,0,0,0,0,0,24,64,70%,16%,9%,35%,25%,15%,2023-07-21
Gavin Williams,gl,box,23,Maj-AL,Cleveland,,Philadelphia,1,,,,4.0,5,1,1,4,3,0,0,47,16,0,1,0,0,0,0,0,0,20,81,52%,14%,9%,23%,38%,8%,2023-07-21
Andrew Heaney,gl,box,32,Maj-AL,Texas,,Los Angeles,1,,,,5.0,5,4,4,3,3,1,0,41,18,1,0,0,1,0,0,0,0,21,72,61%,18%,11%,33%,20%,0%,2023-07-21
Framber Valdez,gl,box,29,Maj-AL,Houston,@,Oakland,1,1,,,5.0,6,4,4,2,4,0,1,41,20,1,0,0,0,1,1,0,0,24,96,61%,18%,10%,35%,41%,6%,2023-07-21
Kutter Crawford,gl,box,27,Maj-AL,Boston,,New York,1,,,,4.0,4,4,4,0,2,2,0,40,16,2,0,0,0,0,0,0,0,16,65,77%,11%,11%,36%,14%,7%,2023-07-21
Alec Marsh,gl,box,25,Maj-AL,Kansas City,@,New York,1,,1,,5.1,5,5,5,2,3,3,2,39,21,0,0,0,1,0,0,0,0,25,97,69%,16%,14%,39%,17%,11%,2023-07-21
Reese Olson,gl,box,23,Maj-AL,Detroit,,San Diego,1,,1,,5.0,7,5,5,2,5,2,0,36,22,1,1,0,0,0,0,0,0,24,95,61%,18%,11%,18%,29%,12%,2023-07-21
JP Sears,gl,box,27,Maj-AL,Oakland,,Houston,1,,1,,5.2,8,5,5,1,1,3,0,33,25,0,0,0,0,0,1,0,0,26,95,65%,13%,4%,29%,17%,8%,2023-07-21
Lance Lynn,gl,box,36,Maj-AL,Chicago,@,Minnesota,1,,1,,6.2,8,9,6,3,6,4,0,31,27,1,0,0,2,0,0,0,0,30,100,65%,16%,13%,29%,24%,14%,2023-07-21
Peter Lambert,gl,box,26,Maj-NL,Colorado,@,Miami,1,1,,,5.0,3,0,0,1,3,0,0,63,18,1,0,0,0,0,0,0,0,19,77,66%,19%,10%,53%,20%,7%,2023-07-21
Justin Steele,gl,box,27,Maj-NL,Chicago,,St. Louis,1,1,,,6.1,6,2,2,1,9,0,1,61,25,0,0,0,1,0,0,0,0,27,100,67%,19%,11%,69%,6%,13%,2023-07-21
Jake Irvin,gl,box,26,Maj-NL,Washington,,San Francisco,1,1,,,6.2,5,3,3,1,9,2,0,60,24,0,0,0,1,0,0,0,0,25,111,68%,18%,10%,33%,27%,7%,2023-07-21
Seth Lugo,gl,box,33,Maj-NL,San Diego,@,Detroit,1,1,,,6.0,6,2,2,3,7,1,0,56,22,0,1,0,0,1,0,0,0,26,100,70%,21%,12%,44%,13%,6%,2023-07-21
Tony Gonsolin,gl,box,29,Maj-NL,Los Angeles,@,Texas,1,,,,5.0,2,4,4,3,6,1,0,50,14,1,0,0,0,2,0,1,0,19,92,61%,11%,9%,20%,20%,10%,2023-07-21
Ben Lively,gl,box,31,Maj-NL,Cincinnati,,Arizona,1,,,,4.2,4,3,3,2,6,1,0,48,18,1,1,0,0,0,0,0,0,20,76,64%,24%,9%,50%,25%,17%,2023-07-21
Michael Soroka,gl,box,25,Maj-NL,Atlanta,@,Milwaukee,1,1,,,6.0,6,4,4,2,4,1,0,46,22,2,0,0,1,0,0,0,0,24,87,60%,15%,13%,33%,33%,11%,2023-07-21
Jack Flaherty,gl,box,27,Maj-NL,St. Louis,@,Chicago,1,,1,,6.0,8,4,4,1,6,2,0,45,26,2,0,0,0,0,1,0,0,27,104,64%,13%,13%,35%,35%,5%,2023-07-21
Kodai Senga,gl,box,30,Maj-NL,New York,@,Boston,1,,,,3.1,3,3,3,1,3,0,0,44,13,1,0,0,0,0,1,0,0,14,59,66%,17%,17%,60%,10%,10%,2023-07-21
Tommy Henry,gl,box,25,Maj-NL,Arizona,@,Cincinnati,1,,1,,4.1,4,4,3,4,2,0,2,39,18,1,0,0,0,0,2,0,0,24,88,53%,13%,7%,44%,13%,13%,2023-07-21
Ranger Suárez,gl,box,27,Maj-NL,Philadelphia,@,Cleveland,1,,1,,5.0,8,4,4,2,5,0,0,38,22,2,0,0,0,0,2,0,0,25,94,65%,15%,11%,67%,28%,6%,2023-07-21
Johan Oviedo,gl,box,25,Maj-NL,Pittsburgh,@,Los Angeles,1,,1,,4.0,3,5,5,3,4,2,0,37,15,1,0,0,0,0,0,0,0,18,75,59%,12%,16%,55%,9%,0%,2023-07-21
Freddy Peralta,gl,box,27,Maj-NL,Milwaukee,,Atlanta,1,,1,,5.0,6,6,6,3,5,2,1,33,20,1,0,0,0,1,0,0,0,25,97,55%,10%,13%,44%,19%,6%,2023-07-21
Alex Wood,gl,box,32,Maj-NL,San Francisco,@,Washington,1,,1,,4.0,5,5,5,2,1,2,1,31,16,2,0,0,0,0,0,0,1,19,75,63%,13%,1%,27%,27%,20%,2023-07-21
Braxton Garrett,gl,box,25,Maj-NL,Miami,,Colorado,1,,1,,3.0,7,6,6,0,5,3,1,26,16,1,0,0,0,0,0,0,0,17,59,64%,17%,19%,27%,36%,0%,2023-07-21
Zach Eflin,gl,box,29,Maj-AL,Tampa Bay,,Baltimore,1,1,,,7.0,2,0,0,1,8,0,0,80,23,1,0,0,0,0,0,0,0,24,87,72%,24%,7%,33%,33%,13%,2023-07-21
Yusei Kikuchi,gl,box,32,Maj-AL,Toronto,@,Seattle,1,,,,5.1,5,0,0,1,8,0,0,65,20,0,0,0,1,0,0,0,0,21,78,67%,21%,15%,58%,17%,17%,2023-07-21
Bryce Miller,gl,box,24,Maj-AL,Seattle,,Toronto,1,,,,5.1,3,1,1,2,6,1,0,62,19,0,0,0,0,0,0,0,0,21,75,67%,15%,11%,31%,23%,0%,2023-07-21
Kyle Bradish,gl,box,26,Maj-AL,Baltimore,@,Tampa Bay,1,,1,,6.0,6,2,2,1,5,1,0,56,24,2,0,0,0,0,0,0,0,25,93,66%,15%,13%,47%,16%,0%,2023-07-21
Joe Ryan,gl,box,27,Maj-AL,Minnesota,,Chicago,1,1,,,6.0,7,4,4,1,10,2,0,51,25,2,0,0,0,0,0,0,0,26,104,62%,13%,14%,27%,13%,13%,2023-07-21
Shohei Ohtani,gl,box,28,Maj-AL,Los Angeles,,Pittsburgh,1,1,,,6.1,6,5,5,1,9,4,1,49,25,0,0,0,0,0,0,0,0,27,87,69%,14%,13%,50%,6%,0%,2023-07-21
Clarke Schmidt,gl,box,27,Maj-AL,New York,,Kansas City,1,1,,,5.2,5,3,3,1,2,1,1,48,22,3,0,0,0,0,0,0,0,24,64,70%,16%,9%,35%,25%,15%,2023-07-21
Gavin Williams,gl,box,23,Maj-AL,Cleveland,,Philadelphia,1,,,,4.0,5,1,1,4,3,0,0,47,16,0,1,0,0,0,0,0,0,20,81,52%,14%,9%,23%,38%,8%,2023-07-21
Andrew Heaney,gl,box,32,Maj-AL,Texas,,Los Angeles,1,,,,5.0,5,4,4,3,3,1,0,41,18,1,0,0,1,0,0,0,0,21,72,61%,18%,11%,33%,20%,0%,2023-07-21
Framber Valdez,gl,box,29,Maj-AL,Houston,@,Oakland,1,1,,,5.0,6,4,4,2,4,0,1,41,20,1,0,0,0,1,1,0,0,24,96,61%,18%,10%,35%,41%,6%,2023-07-21
Kutter Crawford,gl,box,27,Maj-AL,Boston,,New York,1,,,,4.0,4,4,4,0,2,2,0,40,16,2,0,0,0,0,0,0,0,16,65,77%,11%,11%,36%,14%,7%,2023-07-21
Alec Marsh,gl,box,25,Maj-AL,Kansas City,@,New York,1,,1,,5.1,5,5,5,2,3,3,2,39,21,0,0,0,1,0,0,0,0,25,97,69%,16%,14%,39%,17%,11%,2023-07-21
Reese Olson,gl,box,23,Maj-AL,Detroit,,San Diego,1,,1,,5.0,7,5,5,2,5,2,0,36,22,1,1,0,0,0,0,0,0,24,95,61%,18%,11%,18%,29%,12%,2023-07-21
JP Sears,gl,box,27,Maj-AL,Oakland,,Houston,1,,1,,5.2,8,5,5,1,1,3,0,33,25,0,0,0,0,0,1,0,0,26,95,65%,13%,4%,29%,17%,8%,2023-07-21
Lance Lynn,gl,box,36,Maj-AL,Chicago,@,Minnesota,1,,1,,6.2,8,9,6,3,6,4,0,31,27,1,0,0,2,0,0,0,0,30,100,65%,16%,13%,29%,24%,14%,2023-07-21
Peter Lambert,gl,box,26,Maj-NL,Colorado,@,Miami,1,1,,,5.0,3,0,0,1,3,0,0,63,18,1,0,0,0,0,0,0,0,19,77,66%,19%,10%,53%,20%,7%,2023-07-21
Justin Steele,gl,box,27,Maj-NL,Chicago,,St. Louis,1,1,,,6.1,6,2,2,1,9,0,1,61,25,0,0,0,1,0,0,0,0,27,100,67%,19%,11%,69%,6%,13%,2023-07-21
Jake Irvin,gl,box,26,Maj-NL,Washington,,San Francisco,1,1,,,6.2,5,3,3,1,9,2,0,60,24,0,0,0,1,0,0,0,0,25,111,68%,18%,10%,33%,27%,7%,2023-07-21
Seth Lugo,gl,box,33,Maj-NL,San Diego,@,Detroit,1,1,,,6.0,6,2,2,3,7,1,0,56,22,0,1,0,0,1,0,0,0,26,100,70%,21%,12%,44%,13%,6%,2023-07-21
Tony Gonsolin,gl,box,29,Maj-NL,Los Angeles,@,Texas,1,,,,5.0,2,4,4,3,6,1,0,50,14,1,0,0,0,2,0,1,0,19,92,61%,11%,9%,20%,20%,10%,2023-07-21
Ben Lively,gl,box,31,Maj-NL,Cincinnati,,Arizona,1,,,,4.2,4,3,3,2,6,1,0,48,18,1,1,0,0,0,0,0,0,20,76,64%,24%,9%,50%,25%,17%,2023-07-21
Michael Soroka,gl,box,25,Maj-NL,Atlanta,@,Milwaukee,1,1,,,6.0,6,4,4,2,4,1,0,46,22,2,0,0,1,0,0,0,0,24,87,60%,15%,13%,33%,33%,11%,2023-07-21
Jack Flaherty,gl,box,27,Maj-NL,St. Louis,@,Chicago,1,,1,,6.0,8,4,4,1,6,2,0,45,26,2,0,0,0,0,1,0,0,27,104,64%,13%,13%,35%,35%,5%,2023-07-21
Kodai Senga,gl,box,30,Maj-NL,New York,@,Boston,1,,,,3.1,3,3,3,1,3,0,0,44,13,1,0,0,0,0,1,0,0,14,59,66%,17%,17%,60%,10%,10%,2023-07-21
Tommy Henry,gl,box,25,Maj-NL,Arizona,@,Cincinnati,1,,1,,4.1,4,4,3,4,2,0,2,39,18,1,0,0,0,0,2,0,0,24,88,53%,13%,7%,44%,13%,13%,2023-07-21
Ranger Suárez,gl,box,27,Maj-NL,Philadelphia,@,Cleveland,1,,1,,5.0,8,4,4,2,5,0,0,38,22,2,0,0,0,0,2,0,0,25,94,65%,15%,11%,67%,28%,6%,2023-07-21
Johan Oviedo,gl,box,25,Maj-NL,Pittsburgh,@,Los Angeles,1,,1,,4.0,3,5,5,3,4,2,0,37,15,1,0,0,0,0,0,0,0,18,75,59%,12%,16%,55%,9%,0%,2023-07-21
Freddy Peralta,gl,box,27,Maj-NL,Milwaukee,,Atlanta,1,,1,,5.0,6,6,6,3,5,2,1,33,20,1,0,0,0,1,0,0,0,25,97,55%,10%,13%,44%,19%,6%,2023-07-21
Alex Wood,gl,box,32,Maj-NL,San Francisco,@,Washington,1,,1,,4.0,5,5,5,2,1,2,1,31,16,2,0,0,0,0,0,0,1,19,75,63%,13%,1%,27%,27%,20%,2023-07-21
Braxton Garrett,gl,box,25,Maj-NL,Miami,,Colorado,1,,1,,3.0,7,6,6,0,5,3,1,26,16,1,0,0,0,0,0,0,0,17,59,64%,17%,19%,27%,36%,0%,2023-07-21
Tanner Bibee,gl,box,24,Maj-AL,Cleveland,,Philadelphia,1,1,,,7.0,2,0,0,1,8,0,1,80,22,1,0,0,1,0,0,0,0,24,102,72%,18%,22%,36%,14%,7%,2023-07-22
Dylan Cease,gl,box,27,Maj-AL,Chicago,@,Minnesota,1,,,,6.0,3,1,1,2,9,0,0,69,20,2,0,0,1,0,0,0,0,22,96,63%,14%,13%,18%,27%,0%,2023-07-22
Gerrit Cole,gl,box,32,Maj-AL,New York,,Kansas City,1,,,,6.1,5,2,2,1,10,1,0,64,23,0,0,0,0,0,0,0,0,24,99,67%,7%,15%,46%,8%,0%,2023-07-22
James Paxton,gl,box,34,Maj-AL,Boston,,New York,1,1,,,6.0,3,3,2,1,7,0,0,62,21,1,0,0,0,0,0,0,0,22,96,67%,19%,10%,29%,36%,0%,2023-07-22
Brady Singer,gl,box,26,Maj-AL,Kansas City,@,New York,1,,,,6.0,5,2,2,1,9,0,0,62,21,1,0,0,1,1,1,0,0,23,98,63%,21%,12%,54%,15%,0%,2023-07-22
Grayson Rodriguez,gl,box,23,Maj-AL,Baltimore,@,Tampa Bay,1,,,,5.2,3,2,2,2,6,0,0,59,18,1,0,0,0,0,0,0,0,20,93,60%,13%,17%,58%,25%,8%,2023-07-22
Cristian Javier,gl,box,26,Maj-AL,Houston,@,Oakland,1,,1,,5.2,1,2,2,6,5,0,0,58,16,0,0,0,0,0,0,1,1,22,97,49%,11%,11%,9%,18%,9%,2023-07-22
Paul Blackburn,gl,box,29,Maj-AL,Oakland,,Houston,1,,,,5.1,5,1,1,3,5,1,0,56,21,1,0,0,1,0,1,0,0,24,99,56%,16%,8%,63%,19%,0%,2023-07-22
Kevin Gausman,gl,box,32,Maj-AL,Toronto,@,Seattle,1,,,,6.0,5,4,4,0,9,4,0,55,23,0,0,0,0,0,0,0,0,23,87,67%,22%,16%,29%,14%,14%,2023-07-22
Reid Detmers,gl,box,23,Maj-AL,Los Angeles,,Pittsburgh,1,,1,,5.0,6,2,2,2,9,0,1,54,21,3,0,1,0,0,0,0,0,24,100,65%,14%,15%,33%,42%,8%,2023-07-22
Matt Manning,gl,box,25,Maj-AL,Detroit,,San Diego,1,,,,2.0,1,0,0,2,2,0,0,54,6,0,0,0,1,0,0,0,0,8,32,59%,25%,3%,50%,25%,25%,2023-07-22
Sonny Gray,gl,box,33,Maj-AL,Minnesota,,Chicago,1,,,,6.0,7,2,2,1,4,0,0,53,25,0,0,0,0,0,2,0,0,26,88,67%,17%,7%,48%,33%,0%,2023-07-22
Logan Gilbert,gl,box,26,Maj-AL,Seattle,,Toronto,1,,,,5.0,8,5,5,1,5,3,0,35,23,1,0,0,0,0,0,0,0,24,94,65%,16%,6%,50%,11%,0%,2023-07-22
Shane McClanahan,gl,box,26,Maj-AL,Tampa Bay,,Baltimore,1,,,,4.0,5,5,5,3,5,0,0,34,17,3,0,0,0,0,0,0,0,20,86,65%,10%,17%,42%,42%,8%,2023-07-22
Dane Dunning,gl,box,28,Maj-AL,Texas,,Los Angeles,1,,1,,3.0,7,5,5,2,1,2,0,24,14,1,0,0,2,0,0,0,0,16,80,58%,15%,1%,46%,31%,0%,2023-07-22
Johnny Cueto,gl,box,37,Maj-NL,Miami,,Colorado,1,,,,6.0,2,1,1,1,8,0,1,71,19,1,0,0,1,0,0,0,0,21,81,72%,16%,17%,55%,9%,18%,2023-07-22
Zack Wheeler,gl,box,33,Maj-NL,Philadelphia,@,Cleveland,1,,1,,7.0,5,1,1,1,8,0,0,70,25,0,0,0,0,0,0,1,0,26,109,71%,13%,12%,12%,47%,18%,2023-07-22
Josiah Gray,gl,box,25,Maj-NL,Washington,,San Francisco,1,1,,,7.0,4,1,1,3,4,0,0,66,22,2,0,0,2,1,1,0,0,26,87,67%,15%,14%,53%,16%,21%,2023-07-22
Brandon Williamson,gl,box,25,Maj-NL,Cincinnati,,Arizona,1,1,,,6.0,3,1,1,1,5,0,0,66,19,2,0,0,0,0,0,1,0,21,80,69%,13%,9%,20%,33%,7%,2023-07-22
Ryan Borucki,gl,box,29,Maj-NL,Pittsburgh,@,Los Angeles,1,,,,1.2,0,0,0,0,3,0,1,58,5,0,0,0,0,0,0,0,0,6,21,57%,24%,19%,0%,50%,0%,2023-07-22
Brandon Pfaadt,gl,box,24,Maj-NL,Arizona,@,Cincinnati,1,,1,,6.0,4,3,3,0,6,3,1,58,23,0,0,0,0,0,0,0,0,24,89,74%,18%,16%,35%,18%,6%,2023-07-22
Adrian Houser,gl,box,30,Maj-NL,Milwaukee,,Atlanta,1,,,,6.0,6,3,3,2,10,1,0,56,24,0,0,0,0,0,1,0,0,26,89,70%,18%,13%,50%,7%,0%,2023-07-22
Bobby Miller,gl,box,24,Maj-NL,Los Angeles,@,Texas,1,1,,,6.0,7,3,3,0,6,1,1,52,24,1,1,0,1,0,0,0,0,25,85,68%,21%,11%,22%,28%,11%,2023-07-22
Chase Anderson,gl,box,35,Maj-NL,Colorado,@,Miami,1,,,,6.0,7,3,3,1,6,0,0,51,24,1,1,0,0,1,0,0,0,26,93,61%,17%,10%,42%,32%,0%,2023-07-22
Allan Winans,gl,box,27,Maj-NL,Atlanta,@,Milwaukee,1,,,,4.1,5,2,2,1,5,0,0,49,16,1,0,0,1,1,0,0,0,18,71,59%,17%,13%,58%,25%,0%,2023-07-22
Michael Fulmer,gl,box,30,Maj-NL,Chicago,,St. Louis,1,,,,2.0,3,1,1,1,2,1,0,47,8,0,0,0,1,0,0,0,0,9,29,62%,10%,14%,67%,17%,0%,2023-07-22
Max Scherzer,gl,box,38,Maj-NL,New York,@,Boston,1,,1,,6.0,6,5,5,2,7,4,0,45,24,0,0,0,0,0,0,0,0,26,93,72%,20%,12%,29%,18%,6%,2023-07-22
Jackson Wolf,gl,box,24,Maj-NL,San Diego,@,Detroit,1,1,,,5.0,6,3,3,1,1,0,0,43,21,1,0,0,0,0,0,0,0,22,75,60%,13%,3%,60%,15%,0%,2023-07-22
Miles Mikolas,gl,box,34,Maj-NL,St. Louis,@,Chicago,1,,,,5.0,11,5,5,1,3,0,0,27,25,3,0,0,0,0,1,0,0,26,102,69%,19%,7%,32%,23%,9%,2023-07-22
Logan Webb,gl,box,26,Maj-NL,San Francisco,@,Washington,1,,1,,1.1,5,6,6,1,2,1,0,21,9,0,1,0,0,0,0,0,0,10,51,65%,16%,10%,29%,43%,0%,2023-07-22
Alex Faedo,gl,box,27,Maj-AL,Detroit,,San Diego,1,1,,,6.0,1,0,0,4,2,0,0,68,17,1,0,0,3,0,0,0,0,21,93,61%,25%,3%,47%,7%,7%,2023-07-23
Luis Medina,gl,box,24,Maj-AL,Oakland,,Houston,1,,,,5.0,2,1,1,3,6,1,0,62,17,0,0,0,0,0,1,0,0,20,93,63%,15%,15%,18%,27%,18%,2023-07-23
Lucas Giolito,gl,box,28,Maj-AL,Chicago,@,Minnesota,1,,,,5.0,6,0,0,3,9,0,1,61,19,1,0,0,1,0,0,0,0,23,101,66%,17%,12%,40%,30%,0%,2023-07-23
Bailey Ober,gl,box,27,Maj-AL,Minnesota,,Chicago,1,,,,6.0,5,3,2,0,6,2,0,58,22,0,0,0,1,0,1,0,0,22,82,66%,10%,16%,44%,31%,0%,2023-07-23
Brennan Bernardino,gl,box,31,Maj-AL,Boston,,New York,1,,,,1.2,1,0,0,0,3,0,0,56,6,0,0,0,0,0,0,0,0,6,28,79%,25%,4%,67%,0%,0%,2023-07-23
Bryan Woo,gl,box,23,Maj-AL,Seattle,,Toronto,1,,1,,6.0,4,4,4,1,7,2,2,54,21,0,0,0,1,0,0,0,0,24,90,69%,12%,18%,29%,29%,14%,2023-07-23
Hunter Brown,gl,box,24,Maj-AL,Houston,@,Oakland,1,,,,6.0,6,2,2,2,4,1,1,54,22,1,0,0,3,0,1,0,0,25,88,65%,16%,8%,56%,11%,0%,2023-07-23
Xzavion Curry,gl,box,24,Maj-AL,Cleveland,,Philadelphia,1,,,,3.0,1,1,1,3,3,0,0,53,9,0,0,0,1,0,0,0,0,12,42,52%,24%,12%,33%,0%,0%,2023-07-23
Alek Manoah,gl,box,25,Maj-AL,Toronto,@,Seattle,1,,,,5.1,3,3,3,4,6,1,1,52,19,0,0,0,0,0,0,0,0,24,91,53%,16%,13%,31%,38%,0%,2023-07-23
Taj Bradley,gl,box,22,Maj-AL,Tampa Bay,,Baltimore,1,,,,5.0,5,3,3,1,6,1,0,50,20,3,0,0,0,0,0,0,0,21,86,62%,17%,15%,21%,36%,14%,2023-07-23
Tyler Wells,gl,box,28,Maj-AL,Baltimore,@,Tampa Bay,1,,,,4.1,1,3,3,4,5,1,2,50,14,0,0,0,0,0,0,0,0,20,78,58%,17%,10%,22%,11%,11%,2023-07-23
Martín Pérez,gl,box,32,Maj-AL,Texas,,Los Angeles,1,1,,,6.0,6,4,4,2,6,1,0,48,24,2,0,0,0,0,0,0,0,26,94,65%,23%,4%,22%,22%,0%,2023-07-23
Luis Severino,gl,box,29,Maj-AL,New York,,Kansas City,1,1,,,5.2,8,3,3,0,5,2,0,46,23,2,0,0,0,0,1,1,1,23,100,68%,12%,9%,39%,17%,17%,2023-07-23
Tyler Anderson,gl,box,33,Maj-AL,Los Angeles,,Pittsburgh,1,1,,,6.0,8,4,4,1,5,1,0,44,26,2,0,0,0,0,0,0,0,27,97,68%,8%,18%,52%,14%,5%,2023-07-23
Jordan Lyles,gl,box,32,Maj-AL,Kansas City,@,New York,1,,1,,5.0,9,5,5,1,3,2,0,31,23,2,0,0,1,0,0,0,0,24,93,62%,17%,9%,20%,40%,15%,2023-07-23
Jesús Luzardo,gl,box,25,Maj-NL,Miami,,Colorado,1,,,,7.0,4,1,1,2,13,1,0,76,25,1,0,0,0,0,0,0,0,27,115,62%,16%,22%,33%,25%,0%,2023-07-23
Julio Teheran,gl,box,32,Maj-NL,Milwaukee,,Atlanta,1,,,,6.0,3,1,1,0,5,1,1,67,20,1,0,0,0,0,1,1,1,21,78,62%,10%,15%,53%,20%,7%,2023-07-23
