Name,Handedness,Team,Opponent,xK,prop_k,over,over_odds,x_over,over_diff,under,under_odds,x_under,under_diff,bet_over,bet_under,commence_time
Trevor Williams,R,WAS,NYM,3.7,3.5,-102.0,0.505,0.506,0.001,-124.0,0.554,0.494,-0.06,0,0,2023-05-13 16:05:00
Jon Gray,R,TEX,OAK,5.59,5.5,-128.0,0.561,0.487,-0.074,100.0,0.5,0.513,0.013,0,0,2023-05-13 16:07:00
JP Sears,L,OAK,TEX,5.14,5.5,-110.0,0.524,0.408,-0.116,-116.0,0.537,0.592,0.055,0,1,2023-05-13 16:07:00
Steven Matz,L,STL,BOS,4.61,4.5,-110.0,0.524,0.489,-0.035,-116.0,0.537,0.511,-0.026,0,0,2023-05-13 16:10:00
Chris Sale,L,BOS,STL,5.19,6.5,114.0,0.467,0.266,-0.201,-146.0,0.593,0.734,0.141,0,1,2023-05-13 16:10:00
Reid Detmers,L,LAA,CLE,4.55,5.5,118.0,0.459,0.306,-0.153,-150.0,0.6,0.694,0.094,0,1,2023-05-13 18:10:00
Cal Quantrill,R,CLE,LAA,3.69,3.5,-156.0,0.609,0.503,-0.106,122.0,0.45,0.497,0.047,0,1,2023-05-13 18:10:00
Roansy Contreras,R,PIT,BAL,4.38,4.5,122.0,0.45,0.445,-0.005,-154.0,0.606,0.555,-0.051,0,0,2023-05-13 19:05:00
Tyler Wells,R,BAL,PIT,3.63,4.5,-150.0,0.6,0.3,-0.3,118.0,0.459,0.7,0.241,0,1,2023-05-13 19:05:00
Zack Greinke,R,KCR,MIL,3.14,3.5,-108.0,0.519,0.385,-0.134,-118.0,0.541,0.615,0.074,0,1,2023-05-13 19:10:00
Adrian Houser,R,MIL,KCR,3.45,3.5,-172.0,0.632,0.452,-0.18,134.0,0.427,0.548,0.121,0,1,2023-05-13 19:10:00
Joe Musgrove,R,SDP,LAD,6.36,5.5,104.0,0.49,0.611,0.121,-132.0,0.569,0.389,-0.18,1,0,2023-05-13 19:15:00
Julio Urias,L,LAD,SDP,5.76,4.5,-146.0,0.593,0.682,0.089,116.0,0.463,0.318,-0.145,1,0,2023-05-13 19:15:00
Brandon Bielak,R,HOU,CHW,3.97,3.5,-152.0,0.603,0.561,-0.042,120.0,0.455,0.439,-0.016,0,0,2023-05-13 19:15:00
Dylan Cease,R,CHW,HOU,6.52,6.5,108.0,0.481,0.476,-0.005,-136.0,0.576,0.524,-0.052,0,0,2023-05-13 19:15:00
Anthony DeSclafani,R,SFG,ARI,3.69,3.5,-122.0,0.55,0.504,-0.046,-104.0,0.51,0.496,-0.014,0,0,2023-05-13 20:10:00
Zac Gallen,R,ARI,SFG,7.34,6.5,-150.0,0.6,0.6,0.0,118.0,0.459,0.4,-0.059,0,0,2023-05-13 20:10:00
Ranger Suarez,L,PHI,COL,4.56,3.5,-106.0,0.515,0.667,0.152,-120.0,0.545,0.333,-0.212,1,0,2023-05-13 20:10:00
Ryan Feltner,R,COL,PHI,4.79,3.5,-140.0,0.583,0.704,0.121,110.0,0.476,0.296,-0.18,1,0,2023-05-13 20:10:00
Patrick Sandoval,L,LAA,CLE,4.6,4.5,-120.0,0.545,0.487,-0.058,-106.0,0.515,0.513,-0.002,0,0,2023-05-14 11:35:00
Tanner Bibee,R,CLE,LAA,4.77,5.5,-108.0,0.519,0.343,-0.176,-118.0,0.541,0.657,0.116,0,1,2023-05-14 11:35:00
Zach Eflin,R,TBR,NYY,5.04,4.5,-106.0,0.515,0.566,0.051,-122.0,0.55,0.434,-0.116,1,0,2023-05-14 13:35:00
Clarke Schmidt,R,NYY,TBR,4.9,5.5,-102.0,0.505,0.367,-0.138,-124.0,0.554,0.633,0.079,0,1,2023-05-14 13:35:00
Mitch Keller,R,PIT,BAL,4.84,4.5,-150.0,0.6,0.531,-0.069,118.0,0.459,0.469,0.01,0,0,2023-05-14 13:35:00
Kyle Gibson,R,BAL,PIT,4.47,4.5,-128.0,0.561,0.462,-0.099,100.0,0.5,0.538,0.038,0,1,2023-05-14 13:35:00
Yusei Kikuchi,L,TOR,ATL,6.04,5.5,100.0,0.5,0.561,0.061,-128.0,0.561,0.439,-0.122,1,0,2023-05-14 13:37:00
Logan Gilbert,R,SEA,DET,6.21,6.5,126.0,0.442,0.428,-0.014,-160.0,0.615,0.572,-0.043,0,0,2023-05-14 13:40:00
Joey Wentz,L,DET,SEA,4.42,4.5,-116.0,0.537,0.453,-0.084,-110.0,0.524,0.547,0.023,0,1,2023-05-14 13:40:00
Luke Weaver,R,CIN,MIA,5.07,4.5,-102.0,0.505,0.573,0.068,-124.0,0.554,0.427,-0.127,1,0,2023-05-14 13:40:00
Braxton Garrett,L,MIA,CIN,5.62,4.5,-102.0,0.505,0.662,0.157,-126.0,0.558,0.338,-0.22,1,0,2023-05-14 13:40:00
Marcus Stroman,R,CHC,MIN,5.5,5.5,108.0,0.481,0.471,-0.01,-138.0,0.58,0.529,-0.051,0,0,2023-05-14 14:10:00
Louie Varland,R,MIN,CHC,5.08,5.5,104.0,0.49,0.398,-0.092,-134.0,0.573,0.602,0.029,0,1,2023-05-14 14:10:00
Jordan Lyles,R,KCR,MIL,4.88,4.5,-110.0,0.524,0.538,0.014,-116.0,0.537,0.462,-0.075,0,0,2023-05-14 14:10:00
Hunter Brown,R,HOU,CHW,4.76,4.5,-150.0,0.6,0.517,-0.083,118.0,0.459,0.483,0.024,0,1,2023-05-14 14:10:00
Lucas Giolito,R,CHW,HOU,5.67,5.5,-130.0,0.565,0.5,-0.065,104.0,0.49,0.5,0.01,0,0,2023-05-14 14:10:00
Aaron Nola,R,PHI,COL,7.05,5.5,130.0,0.435,0.705,0.27,-166.0,0.624,0.295,-0.329,1,0,2023-05-14 15:10:00
Kyle Freeland,L,COL,PHI,4.37,3.5,-116.0,0.537,0.635,0.098,-110.0,0.524,0.365,-0.159,1,0,2023-05-14 15:10:00
Andrew Heaney,L,TEX,OAK,7.53,6.5,-102.0,0.505,0.626,0.121,-124.0,0.554,0.374,-0.18,1,0,2023-05-14 16:07:00
Tony Gonsolin,R,LAD,SDP,5.0,4.5,-102.0,0.505,0.56,0.055,-126.0,0.558,0.44,-0.118,1,0,2023-05-14 16:10:00
Logan Webb,R,SFG,ARI,4.79,5.5,100.0,0.5,0.347,-0.153,-128.0,0.561,0.653,0.092,0,1,2023-05-14 16:10:00
Brandon Pfaadt,R,ARI,SFG,3.34,4.5,-120.0,0.545,0.245,-0.3,-106.0,0.515,0.755,0.24,0,1,2023-05-14 16:10:00
Max Scherzer,R,NYM,WAS,5.63,5.5,-106.0,0.515,0.494,-0.021,-122.0,0.55,0.506,-0.044,0,0,2023-05-14 16:35:00
Jake Irvin,R,WAS,NYM,3.54,3.5,-112.0,0.528,0.472,-0.056,-112.0,0.528,0.528,0.0,0,0,2023-05-14 16:35:00
Miles Mikolas,R,STL,BOS,4.35,3.5,-144.0,0.59,0.632,0.042,112.0,0.472,0.368,-0.104,1,0,2023-05-14 19:10:00
Corey Kluber,R,BOS,STL,4.13,4.5,118.0,0.459,0.397,-0.062,-150.0,0.6,0.603,0.003,0,0,2023-05-14 19:10:00
David Peterson,L,NYM,WAS,5.24,5.5,130.0,0.435,0.426,-0.009,-166.0,0.624,0.574,-0.05,0,0,2023-05-15 16:05:00
Patrick Corbin,L,WAS,NYM,3.6,3.5,-152.0,0.603,0.484,-0.119,120.0,0.455,0.516,0.061,0,1,2023-05-15 16:05:00
Shohei Ohtani,R,LAA,BAL,7.53,7.5,120.0,0.455,0.48,0.025,-150.0,0.6,0.52,-0.08,1,0,2023-05-15 18:35:00
Grayson Rodriguez,R,BAL,LAA,5.6,5.5,-102.0,0.505,0.489,-0.016,-126.0,0.558,0.511,-0.047,0,0,2023-05-15 18:35:00
Alek Manoah,R,TOR,NYY,5.23,4.5,-150.0,0.6,0.598,-0.002,118.0,0.459,0.402,-0.057,0,0,2023-05-15 19:07:00
George Kirby,R,SEA,BOS,4.69,4.5,130.0,0.435,0.504,0.069,-166.0,0.624,0.496,-0.128,1,0,2023-05-15 19:10:00
Tanner Houck,R,BOS,SEA,4.95,4.5,-132.0,0.569,0.552,-0.017,104.0,0.49,0.448,-0.042,0,0,2023-05-15 19:10:00
Freddy Peralta,R,MIL,STL,5.14,5.5,-142.0,0.587,0.409,-0.178,112.0,0.472,0.591,0.119,0,1,2023-05-15 19:45:00
Jack Flaherty,R,STL,MIL,4.89,5.5,102.0,0.495,0.365,-0.13,-128.0,0.561,0.635,0.074,0,1,2023-05-15 19:45:00
Charlie Morton,R,ATL,TEX,6.65,6.5,-110.0,0.524,0.496,-0.028,-116.0,0.537,0.504,-0.033,0,0,2023-05-15 20:05:00
Jameson Taillon,R,CHC,HOU,4.52,4.5,-108.0,0.519,0.472,-0.047,-118.0,0.541,0.528,-0.013,0,0,2023-05-15 20:10:00
Framber Valdez,L,HOU,CHC,4.65,6.5,-128.0,0.561,0.189,-0.372,102.0,0.495,0.811,0.316,0,1,2023-05-15 20:10:00
Hunter Greene,R,CIN,COL,6.84,5.5,-124.0,0.554,0.678,0.124,-102.0,0.505,0.321,-0.184,1,0,2023-05-15 20:40:00
Connor Seabold,R,COL,CIN,5.66,3.5,-112.0,0.528,0.816,0.288,-112.0,0.528,0.184,-0.344,1,0,2023-05-15 20:40:00
Brad Keller,R,KCR,SDP,4.61,3.5,100.0,0.5,0.676,0.176,-128.0,0.561,0.324,-0.237,1,0,2023-05-15 21:40:00
Michael Wacha,R,SDP,KCR,4.6,4.5,-118.0,0.541,0.487,-0.054,-108.0,0.519,0.513,-0.006,0,0,2023-05-15 21:40:00
Merrill Kelly,R,ARI,OAK,5.89,6.5,112.0,0.472,0.375,-0.097,-142.0,0.587,0.625,0.038,0,1,2023-05-15 21:40:00
Drew Rucinski,R,OAK,ARI,1.73,3.5,-102.0,0.505,0.098,-0.407,-126.0,0.558,0.902,0.344,0,1,2023-05-15 21:40:00
Alex Wood,L,MIN,LAD,5.16,3.5,-140.0,0.583,0.756,0.173,110.0,0.476,0.244,-0.232,1,0,2023-05-15 21:45:00
Pablo Lopez,R,LAD,MIN,6.47,5.5,-160.0,0.615,0.626,0.011,126.0,0.442,0.374,-0.068,0,0,2023-05-15 22:10:00
